ID,HT,WT,AGE,SEX
1,52.9208813,2.853209423,0,0
2,54.3710225,3.331826561,0,0
3,50.18917296,3.146928806,0,0
4,50.87958838,2.75490889,0,0
5,53.26947337,3.629625884,0,0
6,56.31163279,3.457325998,0,0
7,50.64427717,2.767372229,0,0
8,49.97506423,2.649984955,0,0
9,47.86936204,2.585397742,0,0
10,51.66864919,2.979668889,0,0
11,51.2366861,2.660498318,0,0
12,51.58517435,2.905875013,0,0
13,50.45590308,2.15214622,0,0
14,49.58286683,2.315464774,0,0
15,53.83830011,2.946813385,0,0
16,56.3350563,3.388836473,0,0
17,54.96356336,3.695653319,0,0
18,55.61826911,3.5602984,0,0
19,50.67149996,2.856279994,0,0
20,51.07548363,3.08329662,0,0
21,54.93509343,3.492855416,0,0
22,55.57095105,3.470133086,0,0
23,52.20868311,2.903797688,0,0
24,53.71519025,3.476831557,0,0
25,57.28549913,4.19819709,0.083333333,0
26,56.26767194,3.405936439,0.083333333,0
27,62.02736389,4.948919274,0.083333333,0
28,58.57151755,4.456643653,0.083333333,0
29,60.82770731,4.571018343,0.083333333,0
30,57.49381166,3.768920457,0.083333333,0
31,57.00516163,3.939038222,0.083333333,0
32,56.52022914,3.458465217,0.083333333,0
33,60.97616051,5.368855473,0.083333333,0
34,59.02176376,3.797444849,0.083333333,0
35,53.99289584,3.166299559,0.083333333,0
36,60.79593943,4.274794617,0.083333333,0
37,57.20135748,3.454335577,0.083333333,0
38,59.43310466,4.143790245,0.083333333,0
39,56.77091696,3.027192437,0.083333333,0
40,60.1231093,4.485250875,0.083333333,0
41,53.26016217,2.801492282,0.083333333,0
42,60.81513204,4.794263405,0.083333333,0
43,56.71612579,4.296952806,0.083333333,0
44,57.28709764,4.740609721,0.083333333,0
45,60.89202713,4.44082084,0.083333333,0
46,58.11534448,3.53082858,0.083333333,0
47,58.87552458,4.844543305,0.083333333,0
48,57.26612499,4.046411144,0.083333333,0
49,61.36221199,4.587754484,0.166666667,0
50,58.75816568,5.388974509,0.166666667,0
51,60.10798623,3.851743249,0.166666667,0
52,59.02476484,4.870628841,0.166666667,0
53,61.30831739,5.876473513,0.166666667,0
54,56.93813129,3.955449856,0.166666667,0
55,59.45269694,4.229602907,0.166666667,0
56,57.84626275,3.651130051,0.166666667,0
57,63.2765706,5.052577829,0.166666667,0
58,60.90783084,4.318395525,0.166666667,0
59,60.27221464,4.401704352,0.166666667,0
60,62.26788357,4.616463559,0.166666667,0
61,59.67233519,3.887181649,0.166666667,0
62,60.99081424,4.299812019,0.166666667,0
63,58.90917051,4.341851229,0.166666667,0
64,59.33621437,4.676559412,0.166666667,0
65,58.35041342,4.690387764,0.166666667,0
66,61.10744853,4.805738871,0.166666667,0
67,61.38088313,3.948604168,0.166666667,0
68,60.01445015,5.248104685,0.166666667,0
69,61.02025293,4.985997924,0.166666667,0
70,60.14955008,4.68490236,0.166666667,0
71,59.2135167,3.491033303,0.166666667,0
72,61.26379299,5.61225945,0.166666667,0
73,65.13687988,5.802729715,0.25,0
74,61.78246104,4.673454902,0.25,0
75,63.71189808,5.699969826,0.25,0
76,68.4597989,6.536742159,0.25,0
77,63.44709308,5.436192601,0.25,0
78,66.04919632,6.713603346,0.25,0
79,66.19180996,6.372079202,0.25,0
80,66.05719681,5.575803562,0.25,0
81,64.48018087,6.215848329,0.25,0
82,61.20090108,5.521820193,0.25,0
83,63.30017861,4.91188801,0.25,0
84,60.76440891,5.180720639,0.25,0
85,61.92470993,4.696374185,0.25,0
86,61.55216329,5.124946794,0.25,0
87,63.77269452,5.756067264,0.25,0
88,60.678728,4.757096833,0.25,0
89,67.15150058,6.672800394,0.25,0
90,61.93150322,5.318251836,0.25,0
91,64.80169208,4.558419074,0.25,0
92,60.12303063,4.978164221,0.25,0
93,64.21587328,5.330028504,0.25,0
94,64.93661485,5.925863508,0.25,0
95,64.35432743,6.768069251,0.25,0
96,63.86361086,5.685166936,0.25,0
97,65.66654581,5.919191025,0.333333333,0
98,67.19543155,6.739207276,0.333333333,0
99,63.4043703,5.645329529,0.333333333,0
100,62.58222716,4.84203607,0.333333333,0
101,69.08052109,7.377494073,0.333333333,0
102,68.80355073,6.102191751,0.333333333,0
103,67.59215825,5.563575166,0.333333333,0
104,67.9331598,6.602435017,0.333333333,0
105,66.60646104,6.191711504,0.333333333,0
106,64.17496909,6.332391129,0.333333333,0
107,66.90923011,5.961164123,0.333333333,0
108,67.91866793,6.783544134,0.333333333,0
109,68.17719946,6.448338997,0.333333333,0
110,67.52893932,6.927026562,0.333333333,0
111,66.71247435,6.779680364,0.333333333,0
112,66.40485442,6.248471278,0.333333333,0
113,67.7609309,5.298678607,0.333333333,0
114,64.44065616,5.119784692,0.333333333,0
115,64.1232429,5.323236409,0.333333333,0
116,66.64127941,6.566462922,0.333333333,0
117,66.7120356,5.71522655,0.333333333,0
118,67.31515451,6.248681586,0.333333333,0
119,65.81627134,4.838891053,0.333333333,0
120,68.99223859,6.283326952,0.333333333,0
121,69.92236749,7.346279536,0.416666667,0
122,65.631031,6.320398604,0.416666667,0
123,64.95032988,5.452154856,0.416666667,0
124,68.66616879,6.840732875,0.416666667,0
125,69.5430985,7.741995316,0.416666667,0
126,69.78654822,6.977866343,0.416666667,0
127,71.13205303,6.632777291,0.416666667,0
128,68.19705206,5.871487832,0.416666667,0
129,68.77081059,7.859685814,0.416666667,0
130,66.44892066,6.023552784,0.416666667,0
131,70.02093361,6.170669712,0.416666667,0
132,63.94241208,5.216931625,0.416666667,0
133,67.97137485,5.171540471,0.416666667,0
134,69.70607559,6.302230466,0.416666667,0
135,70.47029701,6.901935448,0.416666667,0
136,67.07503288,5.576793362,0.416666667,0
